2026-02-09 08:38:33 | INFO     | __main__                       | main                 | Manual trigger: run_job_now.py started.
2026-02-09 08:38:33 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Scanning ZIP files in: data\incoming
2026-02-09 08:38:33 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | No ZIP files found in data\incoming
2026-02-09 08:38:33 | INFO     | __main__                       | main                 | Manual trigger: run_job_now.py finished successfully.
2026-02-09 08:39:08 | INFO     | __main__                       | main                 | Manual trigger: run_job_now.py started.
2026-02-09 08:39:08 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Scanning ZIP files in: data\incoming
2026-02-09 08:39:08 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | No ZIP files found in data\incoming
2026-02-09 08:39:08 | INFO     | __main__                       | main                 | Manual trigger: run_job_now.py finished successfully.
2026-02-09 08:40:25 | INFO     | __main__                       | main                 | Manual trigger: run_job_now.py started.
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Scanning ZIP files in: ..\data\incoming
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | filter_files_to_process | Selected latest snapshot cas_customer: cas_customer_update_021225.zip (period_key=20251202)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | filter_files_to_process | Selected latest snapshot cas_info: cas_info_update_221125.zip (period_key=20251122)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | filter_files_to_process | Selected latest snapshot cms_complaint: cms_complaint_update_221125.zip (period_key=20251122)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | filter_files_to_process | Selected top 2 month(s) for bccp_orderitem (monthly mode - always refresh)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | filter_files_to_process |   [TOP] bccp_orderitem_2511.zip (yymm=2511)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | filter_files_to_process |   [TOP] bccp_orderitem_2510.zip (yymm=2510)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | filter_files_to_process | All older months already processed successfully
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Filtered: 5/14 files to process
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Skipping cas_customer_update_021225.zip (mode=snapshot): already processed (same mtime)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Skipping cas_info_update_221125.zip (mode=snapshot): already processed (same mtime)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Skipping cms_complaint_update_221125.zip (mode=snapshot): already processed (same mtime)
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Re-ingesting bccp_orderitem_2511.zip (mode=monthly): File was updated. Old mtime: 2026-01-08 09:02:50, New mtime: 2026-02-06 09:39:51
2026-02-09 08:40:25 | INFO     | Data_pull.sensors.incoming_zip_sensor | run_once_scan        | Running ingest_zip_job for bccp_orderitem_2511.zip
2026-02-09 08:40:25 | ERROR    | Data_pull.jobs.ingest_zip_job  | ingest_zip_job       | [FAIL] unzip_and_discover for bccp_orderitem_2511.zip: [WinError 32] The process cannot access the file because it is being used by another process: '..\\data\\saved\\bccp_orderitem\\bccp_orderitem_2511\\bccp_orderitem_2511.zip'
